molecule,pred_bde,pred_bdfe,bond_index
C1COC=C1,103.865456,91.88676,4
C1COC=C1,81.62405,73.16015,5
C1COC=C1,81.62405,73.16015,6
C1COC=C1,92.29585,84.10244,7
C1COC=C1,92.29585,84.10244,8
C1COC=C1,114.46561,105.95109,9
C1COC=C1,116.89596,108.48179,10
CCC(=O)C,84.69381,71.95328,0
CCC(=O)C,83.73682,69.79288,1
CCC(=O)C,86.10606,76.07277,2
CCC(=O)C,85.93666,72.5668,3
CCC(=O)C,100.3078,91.60331,4
CCC(=O)C,100.3078,91.60331,5
CCC(=O)C,100.3078,91.60331,6
CCC(=O)C,89.62371,81.0341,7
CCC(=O)C,89.62371,81.0341,8
CCC(=O)C,95.17754,87.33257,9
CCC(=O)C,95.17754,87.33257,10
CCC(=O)C,95.17754,87.33257,11
C1CCC(C1)O,87.40926,74.81031,0
C1CCC(C1)O,89.45652,76.7972,1
C1CCC(C1)O,85.720604,73.94776,2
C1CCC(C1)O,85.720604,73.94776,3
C1CCC(C1)O,93.670166,82.54632,4
C1CCC(C1)O,89.45652,76.7972,5
C1CCC(C1)O,95.1513,87.029915,6
C1CCC(C1)O,95.1513,87.029915,7
C1CCC(C1)O,95.1513,87.029915,8
C1CCC(C1)O,95.1513,87.029915,9
C1CCC(C1)O,96.66544,88.111595,10
C1CCC(C1)O,96.66544,88.111595,11
C1CCC(C1)O,92.015434,83.53539,12
C1CCC(C1)O,96.66544,88.111595,13
C1CCC(C1)O,96.66544,88.111595,14
C1CCC(C1)O,102.56248,94.34784,15
C1CCC=CC1,88.57815,74.808815,0
C1CCC=CC1,79.00237,66.09671,1
C1CCC=CC1,98.46722,85.69944,2
C1CCC=CC1,91.19758,77.71628,3
C1CCC=CC1,98.46722,85.69944,4
C1CCC=CC1,79.00237,66.09671,5
C1CCC=CC1,96.87885,87.89417,6
C1CCC=CC1,96.87885,87.89417,7
C1CCC=CC1,96.87885,87.89417,8
C1CCC=CC1,96.87885,87.89417,9
C1CCC=CC1,90.525505,81.24342,10
C1CCC=CC1,90.525505,81.24342,11
C1CCC=CC1,106.30773,97.81484,12
C1CCC=CC1,106.30773,97.81484,13
C1CCC=CC1,90.525505,81.24342,14
C1CCC=CC1,90.525505,81.24342,15
CCCC(C)C,88.35462,74.808,0
CCCC(C)C,87.354744,72.53572,1
CCCC(C)C,85.73536,70.219055,2
CCCC(C)C,87.31736,72.78499,3
CCCC(C)C,87.31736,72.78499,4
CCCC(C)C,99.95666,91.004585,5
CCCC(C)C,99.95666,91.004585,6
CCCC(C)C,99.95666,91.004585,7
CCCC(C)C,96.354164,87.069214,8
CCCC(C)C,96.354164,87.069214,9
CCCC(C)C,97.416374,87.963524,10
CCCC(C)C,97.416374,87.963524,11
CCCC(C)C,94.90001,85.15603,12
CCCC(C)C,100.41793,91.463005,13
CCCC(C)C,100.41793,91.463005,14
CCCC(C)C,100.41793,91.463005,15
CCCC(C)C,100.41793,91.463005,16
CCCC(C)C,100.41793,91.463005,17
CCCC(C)C,100.41793,91.463005,18
C1=CC=CC=C1,99.55652,88.50859,0
C1=CC=CC=C1,99.55652,88.50859,1
C1=CC=CC=C1,99.55652,88.50859,2
C1=CC=CC=C1,99.55652,88.50859,3
C1=CC=CC=C1,99.55652,88.50859,4
C1=CC=CC=C1,99.55652,88.50859,5
C1=CC=CC=C1,110.85237,102.42406,6
C1=CC=CC=C1,110.85237,102.42406,7
C1=CC=CC=C1,110.85237,102.42406,8
C1=CC=CC=C1,110.85237,102.42406,9
C1=CC=CC=C1,110.85237,102.42406,10
C1=CC=CC=C1,110.85237,102.42406,11
C1CCC(=O)C1,88.94413,75.305626,0
C1CCC(=O)C1,85.07783,72.536354,1
C1CCC(=O)C1,84.44843,72.560875,2
C1CCC(=O)C1,88.6874,79.37822,3
C1CCC(=O)C1,84.44843,72.560875,4
C1CCC(=O)C1,85.07783,72.536354,5
C1CCC(=O)C1,97.0048,87.94172,6
C1CCC(=O)C1,97.0048,87.94172,7
C1CCC(=O)C1,97.0048,87.94172,8
C1CCC(=O)C1,97.0048,87.94172,9
C1CCC(=O)C1,90.15167,81.72843,10
C1CCC(=O)C1,90.15167,81.72843,11
C1CCC(=O)C1,90.15167,81.72843,12
C1CCC(=O)C1,90.15167,81.72843,13
CCC(=O)CC,84.71468,72.035065,0
CCC(=O)CC,84.297646,70.08171,1
CCC(=O)CC,86.61738,76.45078,2
CCC(=O)CC,84.297646,70.08171,3
CCC(=O)CC,84.71468,72.035065,4
CCC(=O)CC,100.40623,91.64794,5
CCC(=O)CC,100.40623,91.64794,6
CCC(=O)CC,100.40623,91.64794,7
CCC(=O)CC,89.59525,81.19048,8
CCC(=O)CC,89.59525,81.19048,9
CCC(=O)CC,89.59525,81.19048,10
CCC(=O)CC,89.59525,81.19048,11
CCC(=O)CC,100.40623,91.64794,12
CCC(=O)CC,100.40623,91.64794,13
CCC(=O)CC,100.40623,91.64794,14
C1CCOCC1,89.810646,76.64343,0
C1CCOCC1,86.26946,73.657875,1
C1CCOCC1,84.17302,73.27609,2
C1CCOCC1,84.17302,73.27609,3
C1CCOCC1,86.26946,73.657875,4
C1CCOCC1,89.810646,76.64343,5
C1CCOCC1,97.10923,88.09753,6
C1CCOCC1,97.10923,88.09753,7
C1CCOCC1,95.59117,86.665146,8
C1CCOCC1,95.59117,86.665146,9
C1CCOCC1,91.743195,83.000145,10
C1CCOCC1,91.743195,83.000145,11
C1CCOCC1,91.743195,83.000145,12
C1CCOCC1,91.743195,83.000145,13
C1CCOCC1,95.59117,86.665146,14
C1CCOCC1,95.59117,86.665146,15
CCC(C)(C)C,88.86881,75.18236,0
CCC(C)(C)C,83.98504,68.21186,1
CCC(C)(C)C,86.25019,71.51266,2
CCC(C)(C)C,86.25019,71.51266,3
CCC(C)(C)C,86.25019,71.51266,4
CCC(C)(C)C,98.97674,89.95514,5
CCC(C)(C)C,98.97674,89.95514,6
CCC(C)(C)C,98.97674,89.95514,7
CCC(C)(C)C,96.97547,87.88388,8
CCC(C)(C)C,96.97547,87.88388,9
CCC(C)(C)C,100.1524,91.550735,10
CCC(C)(C)C,100.1524,91.550735,11
CCC(C)(C)C,100.1524,91.550735,12
CCC(C)(C)C,100.1524,91.550735,13
CCC(C)(C)C,100.1524,91.550735,14
CCC(C)(C)C,100.1524,91.550735,15
CCC(C)(C)C,100.1524,91.550735,16
CCC(C)(C)C,100.1524,91.550735,17
CCC(C)(C)C,100.1524,91.550735,18
CCCCC=O,89.21453,75.69223,0
CCCCC=O,87.6607,73.22453,1
CCCCC=O,82.07354,68.45407,2
CCCCC=O,84.24859,70.82208,3
CCCCC=O,85.97693,76.28913,4
CCCCC=O,100.08239,91.13146,5
CCCCC=O,100.08239,91.13146,6
CCCCC=O,100.08239,91.13146,7
CCCCC=O,97.023994,87.72077,8
CCCCC=O,97.023994,87.72077,9
CCCCC=O,97.60003,88.53031,10
CCCCC=O,97.60003,88.53031,11
CCCCC=O,88.82815,80.2046,12
CCCCC=O,88.82815,80.2046,13
CCCCC=O,88.78967,79.76805,14
CCC(C)CO,89.08938,75.45088,0
CCC(C)CO,86.1099,70.647,1
CCC(C)CO,88.00608,73.52777,2
CCC(C)CO,84.041725,69.35033,3
CCC(C)CO,95.64787,83.91273,4
CCC(C)CO,99.392334,90.41697,5
CCC(C)CO,99.392334,90.41697,6
CCC(C)CO,99.392334,90.41697,7
CCC(C)CO,96.9906,87.7042,8
CCC(C)CO,96.9906,87.7042,9
CCC(C)CO,95.3213,85.56962,10
CCC(C)CO,100.05485,91.040054,11
CCC(C)CO,100.05485,91.040054,12
CCC(C)CO,100.05485,91.040054,13
CCC(C)CO,93.931206,85.28849,14
CCC(C)CO,93.931206,85.28849,15
CCC(C)CO,102.67286,94.437004,16
CC(C)CCO,86.345726,71.98514,0
CC(C)CCO,86.345726,71.98514,1
CC(C)CCO,85.78558,70.511894,2
CC(C)CCO,85.26136,71.28892,3
CC(C)CCO,94.14317,82.61837,4
CC(C)CCO,100.483116,91.51724,5
CC(C)CCO,100.483116,91.51724,6
CC(C)CCO,100.483116,91.51724,7
CC(C)CCO,93.611244,84.11797,8
CC(C)CCO,100.483116,91.51724,9
CC(C)CCO,100.483116,91.51724,10
CC(C)CCO,100.483116,91.51724,11
CC(C)CCO,97.33535,88.21281,12
CC(C)CCO,97.33535,88.21281,13
CC(C)CCO,92.68958,84.26786,14
CC(C)CCO,92.68958,84.26786,15
CC(C)CCO,102.88787,94.659805,16
COCCOC,84.43579,71.81062,0
COCCOC,85.471344,72.18467,1
COCCOC,82.50939,69.17665,2
COCCOC,85.471344,72.18467,3
COCCOC,84.43579,71.81062,4
COCCOC,95.59977,87.023705,5
COCCOC,95.59977,87.023705,6
COCCOC,95.59977,87.023705,7
COCCOC,94.74259,85.96862,8
COCCOC,94.74259,85.96862,9
COCCOC,94.74259,85.96862,10
COCCOC,94.74259,85.96862,11
COCCOC,95.59977,87.023705,12
COCCOC,95.59977,87.023705,13
COCCOC,95.59977,87.023705,14
CCC(C)CC,88.57096,74.76655,0
CCC(C)CC,84.99749,69.21452,1
CCC(C)CC,86.7492,71.96994,2
CCC(C)CC,84.99749,69.21452,3
CCC(C)CC,88.57096,74.76655,4
CCC(C)CC,99.146904,90.18899,5
CCC(C)CC,99.146904,90.18899,6
CCC(C)CC,99.146904,90.18899,7
CCC(C)CC,96.631935,87.12804,8
CCC(C)CC,96.631935,87.12804,9
CCC(C)CC,94.94727,85.00947,10
CCC(C)CC,99.45432,90.426575,11
CCC(C)CC,99.45432,90.426575,12
CCC(C)CC,99.45432,90.426575,13
CCC(C)CC,96.631935,87.12804,14
CCC(C)CC,96.631935,87.12804,15
CCC(C)CC,99.146904,90.18899,16
