molecule,match
CCCC(C)C(=O)CC,False
CCCC(C)C(C)O,False
CCCC(C)C(CC)O,False
CCCC(C)C=C(C)C,True
CCCC(C)CC,True
CCCC(C)CCCC(C)CCCC(C)C,False
CCCC(CC(=O)OC)O,False
CCCC(CC)C(CC)CCC,True
CCCC(CCCC)=CCCCCCCC,False
CCCC(O)CCC,False
CCCC/C=C/CC,True
CCCC/C=C\C,True
CCCC/C=C\CC,True
CCCC12CC3CC(C1)CC(C3)C2,True
CCCC1=CC(=C(C=C1)O)OC,False
CCCC1=CC2=C(CCCC2)C=C1,True
CCCC1=CC=C(C=C1)O,False
CCCC1=CC=C(C=C1)OC,True
CCCC1=CC=CC=C1,True
CCCC1C2CC3CC(C2)CC1C3,False
CCCC1CCCC1,False
CCCC1CCCC2=CC=CC=C12,False
CCCC1CCCC2CCCCC12,True
CCCC1CCCCC1,True
CCCC1OC(C)C(C)O1,True
CCCC=C(CCCC)CCCCCCC,False
CCCC=C1C2CC3CC(C2)CC1C3,False
CCCC=O,True
CCCCC,True
CCCCC(=O)CCCC,True
CCCCC(=O)OC,False
CCCCC(=O)OC.CCCCC(=O)OC,False
CCCCC(=O)OCC,False
CCCCC(=O)OCCC,True
CCCCC(=O)OCCCC,False
CCCCC(C)(C)C,True
CCCCC(C)(C)c1ccc2ccccc2c1,False
CCCCC(C)(CCCC)c1ccc2ccccc2c1,False
CCCCC(C)C,True
CCCCC(C)C(=O)C,False
CCCCC(C)CC,True
CCCCC(CC)C1OC(C)C(C)O1,False
CCCCC(CC)CO,True
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,False
CCCCC(CC)COCCCC,True
CCCCC(CCCC)C(CCCC)CCCC,False
CCCCC(CCCC)CCCC,True
CCCCC/C=C/C/C=C/CCCCCCCC(=O)OC,False
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC,False
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC,False
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,False
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,False
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC.CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,False
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,True
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCC,False
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCC,False
CCCCC/C=C\C=C\C(=O)OCC,False
CCCCC12CC3CC(C1)CC(C3)C2,True
CCCCC1=CC=C(C=C1)CCCC,True
CCCCC1=CC=CC=C1,True
CCCCC1=CC=CO1,True
CCCCC1C(CC(=O)O1)C,True
CCCCC1CCCC2=CC=CC=C12,False
CCCCC1CCCC2CCCCC12,False
CCCCC1CCCCC(=O)O1,False
CCCCC1CCCCC1,False
CCCCC1CCCO1,True
CCCCC=CC,True
CCCCC=CCC,True
CCCCC=O,True
CCCCCC,True
CCCCCC#C,False
CCCCCC(=O)C,False
CCCCCC(=O)CC,True
CCCCCC(=O)CCC,False
CCCCCC(=O)CCCCC,True
CCCCCC(=O)OCCC,False
CCCCCC(=O)OCCCC,False
CCCCCC(C)(C)C,True
CCCCCC(C)C,True
CCCCCC(C)O,True
